SAPSyncPlant,SapSyncAvailableRetries,SAPSyncEvent,SAPSyncTagID,SAPSyncUser,SAPSyncScanZone,id,SAPSync,ScanZone,SAPSyncErrorMessage,SAPSyncTime,serialTag,serial
7395,4,ChangeStatus,201309148726030001011AC3,root,7395_INUSE,6115,false,7395_InUse,Tag ID :201309148726030001011AC3 Not assosciated to any Equipment.,1437594181946,201309148726030001011AC3,12351453
7394,4,ChangeStatus,20130913872603000101161F,root,7394_INUSE,11044,false,7394_InUse,Tag ID :20130913872603000101161F Not assosciated to any Equipment.,1442411819051,20130913872603000101161F,12356647
7394,4,ChangeStatus,20130919872603000101806B,root,7394_INUSE,4327,false,7394_InUse,Tag ID :20130919872603000101806B Not assosciated to any Equipment.,1441781591692,20130919872603000101806B,12410796
7394,4,ChangeStatus,201309198726030001018040,root,7394_NI,4328,false,7394_NI,Tag ID :201309198726030001018040 Not assosciated to any Equipment.,1441236090618,201309198726030001018040,12410841
7395,4,ChangeStatus,201309148726030001011ACA,root,7395_NI,6104,false,7395_NI,Tag ID :201309148726030001011ACA Not assosciated to any Equipment.,1438016217799,201309148726030001011ACA,12440594
7395,4,ChangeStatus,201309208726030001016C16,root,7395_NI,6101,false,7395_NI,Tag ID :201309208726030001016C16 Not assosciated to any Equipment.,1441125004249,201309208726030001016C16,12440597
7395,4,ChangeStatus,2013092087260300010172C4,root,7395_NI,6083,false,7395_NI,Tag ID :2013092087260300010172C4 Not assosciated to any Equipment.,1440421047983,2013092087260300010172C4,12440879
7394,4,ChangeStatus,201309228726030001019DCD,root,7394_NI,3873,false,7394_NI,Tag ID :201309228726030001019DCD Not assosciated to any Equipment.,1435712158606,201309228726030001019DCD,12440881
7394,4,ChangeStatus,20130922872603000101A1E9,root,7394_NI,10980,false,7394_NI,Tag ID :20130922872603000101A1E9 Not assosciated to any Equipment.,1442428881022,20130922872603000101A1E9,12446094
7394,4,ChangeStatus,2013091487260300010129B9,root,7394_INUSE,10814,false,7394_InUse,Tag ID :2013091487260300010129B9 Not assosciated to any Equipment.,1442411808144,2013091487260300010129B9,12446097
7394,4,ChangeStatus,2013091487260300010119F5,root,7394_INUSE,10726,false,7394_InUse,Tag ID :2013091487260300010119F5 Not assosciated to any Equipment.,1442693995495,2013091487260300010119F5,12460194
7370,4,ChangeStatus,20130923872603000101AF58,root,7370_AVAILABLE,4051,false,7370_Available,Tag ID :20130923872603000101AF58 Not assosciated to any Equipment.,1442501519565,20130923872603000101AF58,12460253
7395,3,ChangeStatus,201309148726030001011A6F,root,7395_INUSE,6074,false,7395_InUse,Tag ID :201309148726030001011A6F Not assosciated to any Equipment.,1439166927185,201309148726030001011A6F,12462966
7394,4,ChangeStatus,2013092287260300010199FE,root,7394_NI,10911,false,7394_NI,Tag ID :2013092287260300010199FE Not assosciated to any Equipment.,1443041521060,2013092287260300010199FE,12468904
7394,4,ChangeStatus,2013091487260300010129D7,root,7394_INUSE,10841,false,7394_InUse,Tag ID :2013091487260300010129D7 Not assosciated to any Equipment.,1442703675620,2013091487260300010129D7,12468914
7394,4,ChangeStatus,201309148726030001011D2E,root,7394_INUSE,10917,false,7394_InUse,Tag ID :201309148726030001011D2E Not assosciated to any Equipment.,1441779508625,201309148726030001011D2E,12468932
7395,4,ChangeStatus,201309218726030001019247,root,7395_NI,6214,false,7395_NI,Tag ID :201309218726030001019247 Not assosciated to any Equipment.,1440421059298,201309218726030001019247,12470367
7394,4,ChangeStatus,2013091487260300010129DF,root,7394_INUSE,10819,false,7394_InUse,Tag ID :2013091487260300010129DF Not assosciated to any Equipment.,1442042179027,2013091487260300010129DF,12471784
7394,4,ChangeStatus,201309148726030001012A0D,root,7394_INUSE,10817,false,7394_InUse,Tag ID :201309148726030001012A0D Not assosciated to any Equipment.,1442697514441,201309148726030001012A0D,12471797
7394,3,ChangeStatus,201309218726030001018D6E,root,7394_INUSE,11223,false,7394_InUse,Tag ID :201309218726030001018D6E Not assosciated to any Equipment.,1441779505953,201309218726030001018D6E,12471799
7395,4,ChangeStatus,2013092287260300010194DE,root,7395_NI,6345,false,7395_NI,Tag ID :2013092287260300010194DE Not assosciated to any Equipment.,1439868954402,2013092287260300010194DE,12478471
7370,4,ChangeStatus,20130923872603000101AEF5,root,7370_AVAILABLE,3850,false,7370_Available,Tag ID :20130923872603000101AEF5 Not assosciated to any Equipment.,1442501514111,20130923872603000101AEF5,12500489
7370,4,ChangeStatus,201309228726030001019D05,root,7370_NI,3822,false,7370_NI,Tag ID :201309228726030001019D05 Not assosciated to any Equipment.,1442501508705,201309228726030001019D05,12500576
7394,3,ChangeStatus,201309198726030001017BE3,root,7394_NI,4314,false,7394_NI,Tag ID :201309198726030001017BE3 Not assosciated to any Equipment.,1435599914219,201309198726030001017BE3,12500580
7394,4,ChangeStatus,201309228726030001019A1B,root,7394_INUSE,10632,false,7394_InUse,Tag ID :201309228726030001019A1B Not assosciated to any Equipment.,1442040597688,201309228726030001019A1B,12514895
7394,4,ChangeStatus,201309158726030001012FE1,root,7394_INUSE,10501,false,7394_InUse,Tag ID :201309158726030001012FE1 Not assosciated to any Equipment.,1442042196247,201309158726030001012FE1,12515195
7394,4,ChangeStatus,2013091387260300010116D8,root,7394_INUSE,11049,false,7394_InUse,Tag ID :2013091387260300010116D8 Not assosciated to any Equipment.,1442411593087,2013091387260300010116D8,12526278
7394,4,ChangeStatus,20130922872603000101A1ED,root,7394_NI,10979,false,7394_NI,Tag ID :20130922872603000101A1ED Not assosciated to any Equipment.,1442428583654,20130922872603000101A1ED,12541576
7394,4,ChangeStatus,20130922872603000101A1DA,root,7394_NI,10984,false,7394_NI,Tag ID :20130922872603000101A1DA Not assosciated to any Equipment.,1442428579857,20130922872603000101A1DA,12541637
7395,3,ChangeStatus,201309208726030001016AB1,root,7395_INUSE,6207,false,7395_InUse,Tag ID :201309208726030001016AB1 Not assosciated to any Equipment.,1440253103021,201309208726030001016AB1,12550433
7395,4,ChangeStatus,201309208726030001016A58,root,7395_NI,6178,false,7395_NI,Tag ID :201309208726030001016A58 Not assosciated to any Equipment.,1438627589960,201309208726030001016A58,12562392
7394,4,ChangeStatus,2013091487260300010126A6,root,7394_NI,11110,false,7394_NI,Tag ID :2013091487260300010126A6 Not assosciated to any Equipment.,1443445156868,2013091487260300010126A6,12562595
7394,4,ChangeStatus,2013091487260300010129CF,root,7394_INUSE,10922,false,7394_InUse,Tag ID :2013091487260300010129CF Not assosciated to any Equipment.,1442693998229,2013091487260300010129CF,12567075
7394,4,ChangeStatus,201309148726030001012A08,root,7394_INUSE,10838,false,7394_InUse,Tag ID :201309148726030001012A08 Not assosciated to any Equipment.,1442703676620,201309148726030001012A08,12567078
7394,4,ChangeStatus,201309148726030001011CD6,root,7394_INUSE,10924,false,7394_InUse,Tag ID :201309148726030001011CD6 Not assosciated to any Equipment.,1442694000933,201309148726030001011CD6,12567083
7394,4,ChangeStatus,2013091287260300010102FE,root,7394_NI,10966,false,7394_NI,Tag ID :2013091287260300010102FE Not assosciated to any Equipment.,1443041564874,2013091287260300010102FE,12567094
7395,4,ChangeStatus,201309208726030001017235,root,7395_INUSE,6095,false,7395_InUse,Tag ID :201309208726030001017235 Not assosciated to any Equipment.,1438197904671,201309208726030001017235,12568677
7395,4,ChangeStatus,201309148726030001011FE3,bupkaw,7395_AVAILABLE,6064,false,7395_Available,Tag ID :201309148726030001011FE3 Not assosciated to any Equipment.,1442408687639,201309148726030001011FE3,12568793
7394,4,ChangeStatus,201309198726030001015A9E,root,7394_INUSE,4504,false,7394_InUse,Tag ID :201309198726030001015A9E Not assosciated to any Equipment.,1442694006589,201309198726030001015A9E,12574005
7395,4,ChangeStatus,2013091887260300010142B5,root,7395_NI,6206,false,7395_NI,Tag ID :2013091887260300010142B5 Not assosciated to any Equipment.,1438703825073,2013091887260300010142B5,12574007
7394,4,ChangeStatus,2013091287260300010102F6,root,7394_INUSE,10970,false,7394_InUse,Tag ID :2013091287260300010102F6 Not assosciated to any Equipment.,1442285516964,2013091287260300010102F6,12576415
7394,4,ChangeStatus,2013092287260300010199EE,root,7394_INUSE,10912,false,7394_InUse,Tag ID :2013092287260300010199EE Not assosciated to any Equipment.,1441782261317,2013092287260300010199EE,12576433
7394,4,ChangeStatus,201309148726030001011C7F,root,7394_INUSE,4341,false,7394_InUse,Tag ID :201309148726030001011C7F Not assosciated to any Equipment.,1442700761702,201309148726030001011C7F,12579604
